# output-contract-catalog.tsv — GENERATED by output-contract-sync. Do not hand-edit.
#
# The schema of the flows: for every action, whether it routes through the
# shared inner runner, which .tlisp files it cats, and for every output key
# its status at BOTH composite boundaries. Regenerate with:
#     MODE=write <stdlib + output-contract-sync/run.tlisp>
#
# actions                361
# routing tatara-script  345
# distinct keys written  345
# dynamic key expansions 8
# inner union (generated)353
#
# The count of keys CURRENTLY declared, and any declared with no
# discoverable writer, are deliberately absent: both are properties of
# the manifest this pass rewrites, so embedding them would describe a
# pre-write state and cost a second pass to converge. They are logged
# on every run instead.
#
# SECTION summary: action<TAB>runner<TAB>scripts<TAB>n-written<TAB>n-declared
# SECTION keys:    action<TAB>key<TAB>kind<TAB>inner<TAB>outer
#
## summary
action-pipeline	tatara-script	run.tlisp	2	2
action-shell-lint	tatara-script	run.tlisp	3	3
adoption-audit	tatara-script	run.tlisp	5	5
airflow-trigger	tatara-script	run.tlisp	1	1
airtable-record-create	tatara-script	run.tlisp	1	1
akeyless-auth	tatara-script	run.tlisp	1	1
akeyless-export-config	tatara-script	run.tlisp	1	1
akeyless-injector-validate	tatara-script	run.tlisp	2	2
akeyless-rotate	tatara-script	run.tlisp	1	1
akeyless-secret-fetch	tatara-script	run.tlisp	1	1
aldrava-dispatch	tatara-script	run.tlisp	13	13
aldrava-install	tatara-script	run.tlisp	3	3
aldrava-lint	tatara-script	run.tlisp	3	3
aldrava-resolve	tatara-script	run.tlisp	7	7
algolia-index-push	tatara-script	run.tlisp	1	1
anchor-build	tatara-script	run.tlisp	1	1
annotation-publish	tatara-script	run.tlisp	1	1
ansible-collection-build	tatara-script	run.tlisp	2	2
ansible-collection-publish	tatara-script	run.tlisp	0	0
anthropic-message	tatara-script	run.tlisp	1	1
api-spec-diff	tatara-script	run.tlisp	1	1
app-store-connect	tatara-script	run.tlisp	1	1
apprise-notify	tatara-script	run.tlisp	1	1
arduino-cli-build	tatara-script	run.tlisp	1	1
argocd-sync	tatara-script	run.tlisp	1	1
artifact-fetch	tatara-script	run.tlisp	1	1
asana-task-create	tatara-script	run.tlisp	1	1
atlas-migrate	tatara-script	run.tlisp	1	1
attestation-gate	tatara-script	run.tlisp	7	7
auth0-rule-deploy	tatara-script	run.tlisp	1	1
aws-assume-role	own-runner	-	0	1
aws-cost-report	tatara-script	run.tlisp	1	1
aws-s3-upload	tatara-script	run.tlisp	1	1
azure-deploy	tatara-script	run.tlisp	1	1
bandit	tatara-script	run.tlisp	1	1
banned-tool-lint	tatara-script	run.tlisp	4	4
benchmark-runner	own-runner	-	0	2
bigorna	tatara-script	run.tlisp	7	7
branch-protect-sync	tatara-script	run.tlisp	1	1
breathe-band-lint	tatara-script	run.tlisp	4	4
breathe-runner	tatara-script	run.tlisp	5	5
browserstack-test	tatara-script	run.tlisp	1	1
build-matrix	tatara-script	run.tlisp	3	3
buildah-build	tatara-script	run.tlisp	1	1
buildkit-cache-warm	tatara-script	run.tlisp	1	1
bun-publish	tatara-script	run.tlisp	1	1
caixa-bump	tatara-script	run.tlisp	3	3
caixa-deps-resolve	tatara-script	run.tlisp	1	1
caixa-detect	tatara-script	run.tlisp	3	3
caixa-publish	tatara-script	run.tlisp	1	1
caixa-publish-to-git	tatara-script	run.tlisp	2	2
caixa-render	tatara-script	run.tlisp	2	2
caixa-render-pr	tatara-script	run.tlisp	3	3
cargo-bump	tatara-script	run.tlisp	3	3
cargo-publish-crate	tatara-script	run.tlisp	4	4
cargo-publish-each-member	tatara-script	run.tlisp	3	3
cargo-run-bin	tatara-script	run.tlisp	2	2
cartorio-attest	tatara-script	run.tlisp	12	12
cdk-deploy	tatara-script	run.tlisp	1	1
cdktf-deploy	tatara-script	run.tlisp	1	1
changelog-fragments-merge	tatara-script	run.tlisp	1	1
changelog-generate	tatara-script	run.tlisp	2	2
changesets	tatara-script	run.tlisp	1	1
checkov	tatara-script	run.tlisp	1	1
ci-triage	tatara-script	run.tlisp	1	1
clickup-task-create	tatara-script	run.tlisp	1	1
cloudflare-cache-purge	tatara-script	run.tlisp	1	1
cloudflare-d1-migrate	tatara-script	run.tlisp	1	1
cloudflare-d1-query	tatara-script	run.tlisp	1	1
cloudflare-do-list	tatara-script	run.tlisp	1	1
cloudflare-kv-get	tatara-script	run.tlisp	1	1
cloudflare-kv-put	tatara-script	run.tlisp	1	1
cloudflare-pages-deploy	own-runner	-	0	1
cloudflare-queue-publish	tatara-script	run.tlisp	1	1
cloudflare-r2-upload	own-runner	-	0	1
cloudflare-worker-deploy	tatara-script	run.tlisp	1	1
codacy-coverage-upload	tatara-script	run.tlisp	1	1
codeowners-validate	tatara-script	run.tlisp	1	1
codeql-scan	own-runner	-	0	1
commitlint	tatara-script	run.tlisp	2	2
confluence-page-create	tatara-script	run.tlisp	1	1
conftest	tatara-script	run.tlisp	1	1
container-boot-check	tatara-script	run.tlisp	1	1
conventional-commit-lint	tatara-script	run.tlisp	1	1
cosign-sign	tatara-script	run.tlisp	1	1
cosign-verify	tatara-script	run.tlisp	1	1
coverage-upload	tatara-script	run.tlisp	2	2
crane-mutate	tatara-script	run.tlisp	1	1
crates-mirror-pull	tatara-script	run.tlisp	1	1
crossplane-apply	tatara-script	run.tlisp	1	1
cyclonedx-merge	tatara-script	run.tlisp	1	1
cypress-test	tatara-script	run.tlisp	1	1
dagster-materialize	tatara-script	run.tlisp	1	1
darwin-zig-build	tatara-script	run.tlisp	0	0
